username, time_to_deliver

SERVER,NaN

antonio 4,1698

antonio 4,1698

antonio 4,1698

antonio 4,1698

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1698

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1699

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1699

antonio 4,1699

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1701

antonio 4,1701

antonio 4,1701

antonio 4,1701

antonio 4,1701

antonio 4,1700

antonio 4,1700

antonio 4,1700

antonio 4,1701

antonio 4,1701

antonio 4,1701

antonio 4,1701

antonio 4,1701

antonio 4,1701

antonio 4,1702

antonio 4,1702

antonio 4,1702

antonio 4,1702

antonio 4,1702

antonio 4,1702

antonio 4,1702

antonio 4,1703

antonio 4,1703

antonio 4,1703

antonio 4,1703

antonio 4,1703

antonio 4,1703

antonio 4,1703

antonio 4,1704

antonio 4,1704

antonio 4,1704

antonio 4,1704

antonio 4,1704

antonio 4,1704

antonio 4,1705

antonio 4,1705

antonio 4,1705

antonio 4,1705

antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1704
antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1705
antonio 4,1706
antonio 4,1706
antonio 4,1706
antonio 4,1706

antonio 4,1706

antonio 4,1706

antonio 4,1706

antonio 4,1706

antonio 4,1706

antonio 4,1706

antonio 4,1706

antonio 4,1707

antonio 4,1707

antonio 4,1707

antonio 4,1707

antonio 4,1707

antonio 4,1707

antonio 4,1707

antonio 4,1707

antonio 4,1708

antonio 4,1708

antonio 4,1708

antonio 4,1708

antonio 4,1708

antonio 4,1708

antonio 4,1708

antonio 4,1708

antonio 4,1708

antonio 4,1709

antonio 4,1709

antonio 4,1709
antonio 4,1709
antonio 4,1709
antonio 4,1709
antonio 4,1709
antonio 4,1710
antonio 4,1710
antonio 4,1710
antonio 4,1710
antonio 4,1709
antonio 4,1709
antonio 4,1710
antonio 4,1710
antonio 4,1710
antonio 4,1710
antonio 4,1710
antonio 4,1710
antonio 4,1710
antonio 4,1710
antonio 4,1710
antonio 4,1711
antonio 4,1711
antonio 4,1711
antonio 4,1711
antonio 4,1711
antonio 4,1711
antonio 4,1711

antonio 3,1919

antonio 3,2428

antonio 3,2428

antonio 3,2429

antonio 3,2429

antonio 3,2429

antonio 3,2430

antonio 3,2430

antonio 3,2430

antonio 3,2430

antonio 3,2431

antonio 3,2447

antonio 3,2448

antonio 3,2448

antonio 3,2448

antonio 3,2448

antonio 3,2448

antonio 3,2448

antonio 3,2449

antonio 3,2449

antonio 3,2449

antonio 3,2449

antonio 3,2449

antonio 3,2450

antonio 3,2450

antonio 3,2450

antonio 3,2450

antonio 3,2450

antonio 3,2450

antonio 3,2451

antonio 3,2451

antonio 3,2451

antonio 3,2451

antonio 3,2451

antonio 3,2451

antonio 3,2452

antonio 3,2452

antonio 3,2452

antonio 3,2452

antonio 3,2452

antonio 3,2451

antonio 3,2451

antonio 3,2452

antonio 3,2452

antonio 3,2452

antonio 3,2452

antonio 3,2452

antonio 3,2453

antonio 3,2453

antonio 3,2452

antonio 3,2452

antonio 3,2452

antonio 3,2453

antonio 3,2453

antonio 3,2453

antonio 3,2453

antonio 3,2453

antonio 3,2454

antonio 3,2454

antonio 3,2454

antonio 3,2454

antonio 3,2454

antonio 3,2454

antonio 3,2455

antonio 3,2455

antonio 3,2455

antonio 3,2455

antonio 3,2455

antonio 3,2455

antonio 3,2455

antonio 3,2456

antonio 3,2456

antonio 3,2456

antonio 3,2456

antonio 3,2456

antonio 3,2456

antonio 3,2456

antonio 3,2456

antonio 3,2456

antonio 3,2457

antonio 3,2457

antonio 3,2457

antonio 3,2456

antonio 3,2456

antonio 3,2456

antonio 3,2456

antonio 3,2456

antonio 3,2456

antonio 3,2457

antonio 3,2457

antonio 3,2457

antonio 3,2457

antonio 3,2457

antonio 3,2457

antonio 3,2457

antonio 3,2457

antonio 3,2457

antonio 3,2457

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2459

antonio 3,2459

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2457

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2458

antonio 3,2459

antonio 3,2459

antonio 3,2459

antonio 3,2459
antonio 3,2456
antonio 3,2455
antonio 3,2455
antonio 3,2455
antonio 3,2455
antonio 3,2455
antonio 3,2455
antonio 3,2456
antonio 3,2456
antonio 3,2456
antonio 3,2456
antonio 3,2456
antonio 3,2456
antonio 3,2456
antonio 3,2456
antonio 3,2456
antonio 3,2456
antonio 3,2457
antonio 3,2457
antonio 3,2457

